n_activities,n_dependencies,n_dus,n_dps,n_dus_edges,dus_distance_to_end,dataset,instance
32,48,10,16,20,1.8,j30,j3013_4.sm
32,48,9,13,15,1.8888888888888888,j30,j3013_5.sm
32,48,9,14,17,2.0,j30,j3013_6.sm
32,48,11,18,24,1.9090909090909092,j30,j3013_7.sm
32,48,11,15,20,2.0,j30,j3013_8.sm
32,48,11,17,23,1.9090909090909092,j30,j3013_9.sm
32,48,12,21,25,1.75,j30,j3014_1.sm
32,48,10,15,20,1.8,j30,j3014_10.sm
32,48,10,14,19,1.8,j30,j3014_2.sm
32,48,10,17,19,2.0,j30,j3014_3.sm
32,48,10,17,20,1.9,j30,j3014_4.sm
32,48,11,16,22,1.6363636363636365,j30,j3014_5.sm
32,48,9,12,15,1.7777777777777777,j30,j3014_6.sm
32,48,11,16,22,1.8181818181818181,j30,j3014_7.sm
32,48,10,14,17,1.9,j30,j3014_8.sm
32,48,10,13,18,1.9,j30,j3014_9.sm
32,48,10,16,21,1.8,j30,j3015_1.sm
32,48,12,20,27,1.9166666666666667,j30,j3015_10.sm
32,48,10,13,19,1.8,j30,j3015_2.sm
32,48,11,15,17,1.9090909090909092,j30,j3015_3.sm
32,48,9,14,15,2.0,j30,j3015_4.sm
32,48,10,17,20,2.0,j30,j3015_5.sm
32,48,11,16,20,1.8181818181818181,j30,j3015_6.sm
32,48,10,16,20,1.9,j30,j3015_7.sm
32,48,10,17,19,1.8,j30,j3015_8.sm
32,48,12,18,24,2.0833333333333335,j30,j3015_9.sm
32,48,11,20,24,1.6363636363636365,j30,j3016_1.sm
32,48,10,17,21,1.8,j30,j3016_10.sm
32,48,10,16,21,1.6,j30,j3016_2.sm
32,48,10,17,22,1.7,j30,j3016_3.sm
32,48,10,15,18,2.0,j30,j3016_4.sm
32,48,9,14,15,2.0,j30,j3016_5.sm
32,48,10,15,19,1.6,j30,j3016_6.sm
32,48,9,15,16,1.8888888888888888,j30,j3016_7.sm
32,48,10,14,19,2.0,j30,j3016_8.sm
32,48,10,15,19,1.9,j30,j3016_9.sm
32,58,10,16,20,2.0,j30,j3017_1.sm
32,58,11,14,20,1.9090909090909092,j30,j3017_10.sm
32,58,11,21,24,2.0,j30,j3017_2.sm
32,58,11,18,23,1.7272727272727273,j30,j3017_3.sm
32,58,11,17,22,1.9090909090909092,j30,j3017_4.sm
32,58,10,17,21,1.9,j30,j3017_5.sm
32,58,13,20,28,2.230769230769231,j30,j3017_6.sm
32,58,10,22,22,2.2,j30,j3017_7.sm
32,58,10,16,22,1.8,j30,j3017_8.sm
32,58,12,20,30,1.8333333333333333,j30,j3017_9.sm
32,58,10,17,22,1.8,j30,j3018_1.sm
32,58,11,18,23,1.6363636363636365,j30,j3018_10.sm
32,58,12,21,25,1.9166666666666667,j30,j3018_2.sm
32,58,11,19,24,1.7272727272727273,j30,j3018_3.sm
32,58,11,17,21,2.0,j30,j3018_4.sm
32,58,11,20,27,2.0,j30,j3018_5.sm
32,58,12,18,26,2.0833333333333335,j30,j3018_6.sm
32,58,11,16,21,2.272727272727273,j30,j3018_7.sm
32,58,9,16,18,2.0,j30,j3018_8.sm
32,58,10,14,20,1.8,j30,j3018_9.sm
32,58,10,16,22,1.9,j30,j3019_1.sm
32,58,9,17,19,2.0,j30,j3019_10.sm
32,58,10,20,22,2.1,j30,j3019_2.sm
32,58,13,21,29,2.1538461538461537,j30,j3019_3.sm
32,58,9,16,20,1.8888888888888888,j30,j3019_4.sm
32,58,10,15,19,2.0,j30,j3019_5.sm
32,58,11,17,22,2.3636363636363638,j30,j3019_6.sm
32,58,10,20,21,1.8,j30,j3019_7.sm
32,58,10,19,23,2.0,j30,j3019_8.sm
32,58,10,18,23,1.7,j30,j3019_9.sm
32,48,11,13,20,1.9090909090909092,j30,j301_1.sm
32,48,10,16,18,2.2,j30,j301_10.sm
32,48,9,13,17,1.8888888888888888,j30,j301_2.sm
32,48,11,17,24,1.7272727272727273,j30,j301_3.sm
32,48,10,15,20,1.7,j30,j301_4.sm
32,48,11,17,20,2.0,j30,j301_5.sm
32,48,11,17,21,1.8181818181818181,j30,j301_6.sm
32,48,12,20,25,1.8333333333333333,j30,j301_7.sm
32,48,9,14,18,1.5555555555555556,j30,j301_8.sm
32,48,10,13,17,1.8,j30,j301_9.sm
32,58,10,15,19,1.9,j30,j3020_1.sm
32,58,9,13,15,2.111111111111111,j30,j3020_10.sm
32,58,12,19,29,1.8333333333333333,j30,j3020_2.sm
32,58,10,14,18,1.6,j30,j3020_3.sm
32,58,8,11,13,2.25,j30,j3020_4.sm
32,58,12,20,29,2.0,j30,j3020_5.sm
32,58,10,16,20,1.7,j30,j3020_6.sm
32,58,9,18,18,1.7777777777777777,j30,j3020_7.sm
32,58,12,16,22,2.1666666666666665,j30,j3020_8.sm
32,58,10,17,21,1.9,j30,j3020_9.sm
32,58,12,22,26,2.25,j30,j3021_1.sm
32,58,10,19,23,1.8,j30,j3021_10.sm
32,58,10,15,19,1.8,j30,j3021_2.sm
32,58,12,20,28,1.9166666666666667,j30,j3021_3.sm
32,58,10,18,21,2.3,j30,j3021_4.sm
32,58,10,21,20,2.5,j30,j3021_5.sm
32,58,10,20,25,2.0,j30,j3021_6.sm
32,58,10,17,21,2.0,j30,j3021_7.sm
32,58,10,16,20,2.0,j30,j3021_8.sm
32,58,10,16,19,1.6,j30,j3021_9.sm
32,58,11,20,25,1.7272727272727273,j30,j3022_1.sm
32,58,10,13,20,1.8,j30,j3022_10.sm
32,58,10,14,18,2.0,j30,j3022_2.sm
32,58,10,19,20,2.1,j30,j3022_3.sm
32,58,10,16,22,1.8,j30,j3022_4.sm
32,58,9,14,17,1.8888888888888888,j30,j3022_5.sm
32,58,10,17,23,1.8,j30,j3022_6.sm
32,58,12,20,28,1.75,j30,j3022_7.sm
32,58,10,17,20,1.8,j30,j3022_8.sm
32,58,12,20,26,1.9166666666666667,j30,j3022_9.sm
32,58,10,19,22,2.0,j30,j3023_1.sm
32,58,11,19,24,1.8181818181818181,j30,j3023_10.sm
32,58,10,18,23,1.7,j30,j3023_2.sm
32,58,10,18,23,1.8,j30,j3023_3.sm
32,58,12,20,27,1.75,j30,j3023_4.sm
32,58,11,15,22,2.090909090909091,j30,j3023_5.sm
32,58,12,19,28,1.9166666666666667,j30,j3023_6.sm
32,58,13,19,29,1.8461538461538463,j30,j3023_7.sm
32,58,11,18,24,1.7272727272727273,j30,j3023_8.sm
32,58,12,19,30,2.0,j30,j3023_9.sm
32,58,12,19,24,2.0833333333333335,j30,j3024_1.sm
32,58,10,18,22,2.0,j30,j3024_10.sm
32,58,11,16,23,2.0,j30,j3024_2.sm
32,58,10,17,20,1.7,j30,j3024_3.sm
32,58,10,15,23,1.8,j30,j3024_4.sm
32,58,10,18,24,1.8,j30,j3024_5.sm
32,58,10,16,21,1.6,j30,j3024_6.sm
32,58,12,18,29,1.8333333333333333,j30,j3024_7.sm
32,58,9,14,16,1.6666666666666667,j30,j3024_8.sm
32,58,9,17,17,2.0,j30,j3024_9.sm
32,58,12,19,28,1.9166666666666667,j30,j3025_1.sm
32,58,11,21,24,2.090909090909091,j30,j3025_10.sm
32,58,11,18,25,2.090909090909091,j30,j3025_2.sm
32,58,10,13,20,1.7,j30,j3025_3.sm
32,58,10,20,22,1.8,j30,j3025_4.sm
32,58,10,18,21,2.0,j30,j3025_5.sm
32,58,10,15,20,1.8,j30,j3025_6.sm
32,58,10,21,20,1.9,j30,j3025_7.sm
32,58,9,16,18,1.8888888888888888,j30,j3025_8.sm
32,58,10,19,20,2.1,j30,j3025_9.sm
32,58,12,21,27,1.9166666666666667,j30,j3026_1.sm
32,58,10,18,22,2.0,j30,j3026_10.sm
32,58,11,17,24,1.6363636363636365,j30,j3026_2.sm
32,58,12,23,27,1.6666666666666667,j30,j3026_3.sm
32,58,11,16,23,1.7272727272727273,j30,j3026_4.sm
32,58,11,20,25,1.8181818181818181,j30,j3026_5.sm
32,58,12,20,27,1.9166666666666667,j30,j3026_6.sm
32,58,11,17,22,1.9090909090909092,j30,j3026_7.sm
32,58,11,15,25,1.6363636363636365,j30,j3026_8.sm
32,58,10,16,19,2.0,j30,j3026_9.sm
32,58,10,16,19,2.3,j30,j3027_1.sm
32,58,12,17,26,2.0833333333333335,j30,j3027_10.sm
32,58,11,19,23,1.9090909090909092,j30,j3027_2.sm
32,58,12,19,28,2.0,j30,j3027_3.sm
32,58,14,21,31,1.8571428571428572,j30,j3027_4.sm
32,58,9,17,16,2.111111111111111,j30,j3027_5.sm
32,58,12,19,27,2.0,j30,j3027_6.sm
32,58,11,18,22,2.090909090909091,j30,j3027_7.sm
32,58,11,21,27,1.6363636363636365,j30,j3027_8.sm
32,58,12,20,29,1.9166666666666667,j30,j3027_9.sm
32,58,11,19,27,1.9090909090909092,j30,j3028_1.sm
32,58,11,19,24,1.9090909090909092,j30,j3028_10.sm
32,58,11,20,24,1.6363636363636365,j30,j3028_2.sm
32,58,11,17,25,1.8181818181818181,j30,j3028_3.sm
32,58,11,20,23,2.272727272727273,j30,j3028_4.sm
32,58,13,18,30,1.8461538461538463,j30,j3028_5.sm
32,58,12,22,29,2.0,j30,j3028_6.sm
32,58,10,15,20,1.9,j30,j3028_7.sm
32,58,10,18,22,2.0,j30,j3028_8.sm
32,58,10,17,18,2.0,j30,j3028_9.sm
32,58,12,19,28,1.9166666666666667,j30,j3029_1.sm
32,58,12,22,26,2.1666666666666665,j30,j3029_10.sm
32,58,11,17,24,1.7272727272727273,j30,j3029_2.sm
32,58,11,20,25,1.6363636363636365,j30,j3029_3.sm
32,58,11,19,24,2.090909090909091,j30,j3029_4.sm
32,58,10,17,22,1.7,j30,j3029_5.sm
32,58,10,18,22,1.9,j30,j3029_6.sm
32,58,10,19,22,1.8,j30,j3029_7.sm
32,58,10,14,20,1.9,j30,j3029_8.sm
32,58,11,20,27,1.8181818181818181,j30,j3029_9.sm
32,48,10,15,19,1.8,j30,j302_1.sm
32,48,10,16,19,2.1,j30,j302_10.sm
32,48,8,13,14,1.875,j30,j302_2.sm
32,48,9,13,17,1.7777777777777777,j30,j302_3.sm
32,48,8,11,10,2.375,j30,j302_4.sm
32,48,11,18,23,1.8181818181818181,j30,j302_5.sm
32,48,10,15,18,1.8,j30,j302_6.sm
32,48,10,15,21,1.6,j30,j302_7.sm
32,48,11,16,23,1.7272727272727273,j30,j302_8.sm
32,48,9,15,20,1.8888888888888888,j30,j302_9.sm
32,58,10,16,23,1.8,j30,j3030_1.sm
32,58,9,15,17,2.0,j30,j3030_10.sm
32,58,11,20,24,1.6363636363636365,j30,j3030_2.sm
32,58,12,18,27,1.8333333333333333,j30,j3030_3.sm
32,58,11,19,25,2.0,j30,j3030_4.sm
32,58,12,23,28,2.1666666666666665,j30,j3030_5.sm
32,58,9,16,18,2.111111111111111,j30,j3030_6.sm
32,58,11,19,23,2.0,j30,j3030_7.sm
32,58,9,17,17,1.8888888888888888,j30,j3030_8.sm
32,58,9,13,17,1.7777777777777777,j30,j3030_9.sm
32,58,10,17,23,1.6,j30,j3031_1.sm
32,58,11,18,23,2.0,j30,j3031_10.sm
32,58,11,17,23,1.7272727272727273,j30,j3031_2.sm
32,58,10,17,24,1.7,j30,j3031_3.sm
32,58,10,16,20,2.0,j30,j3031_4.sm
32,58,11,22,29,1.8181818181818181,j30,j3031_5.sm
32,58,10,17,24,2.0,j30,j3031_6.sm
32,58,11,22,29,1.9090909090909092,j30,j3031_7.sm
32,58,11,19,21,2.090909090909091,j30,j3031_8.sm
32,58,11,19,27,1.9090909090909092,j30,j3031_9.sm
32,58,11,19,22,2.0,j30,j3032_1.sm
32,58,10,15,21,1.8,j30,j3032_10.sm
32,58,9,17,18,1.8888888888888888,j30,j3032_2.sm
32,58,11,18,27,1.7272727272727273,j30,j3032_3.sm
32,58,12,23,27,2.0,j30,j3032_4.sm
32,58,10,18,23,1.9,j30,j3032_5.sm
32,58,11,19,26,2.0,j30,j3032_6.sm
32,58,11,18,25,1.9090909090909092,j30,j3032_7.sm
32,58,10,20,24,2.0,j30,j3032_8.sm
32,58,12,18,26,1.9166666666666667,j30,j3032_9.sm
32,68,11,21,23,2.090909090909091,j30,j3033_1.sm
32,68,10,16,20,2.0,j30,j3033_10.sm
32,68,10,20,24,1.7,j30,j3033_2.sm
32,68,11,17,24,1.9090909090909092,j30,j3033_3.sm
32,68,11,20,27,2.090909090909091,j30,j3033_4.sm
32,68,9,17,18,2.111111111111111,j30,j3033_5.sm
32,68,11,21,27,1.8181818181818181,j30,j3033_6.sm
32,68,10,20,22,2.2,j30,j3033_7.sm
32,68,12,19,29,1.9166666666666667,j30,j3033_8.sm
32,68,10,15,21,2.0,j30,j3033_9.sm
32,68,10,20,25,1.8,j30,j3034_1.sm
32,68,10,15,20,2.0,j30,j3034_10.sm
32,68,11,19,24,2.1818181818181817,j30,j3034_2.sm
32,68,11,22,27,2.090909090909091,j30,j3034_3.sm
32,68,12,23,31,2.1666666666666665,j30,j3034_4.sm
32,68,11,22,28,2.0,j30,j3034_5.sm
32,68,10,21,23,2.0,j30,j3034_6.sm
32,68,10,19,22,2.1,j30,j3034_7.sm
32,68,11,19,24,1.6363636363636365,j30,j3034_8.sm
32,68,11,22,26,1.7272727272727273,j30,j3034_9.sm
32,68,10,16,22,2.0,j30,j3035_1.sm
32,68,11,21,26,1.8181818181818181,j30,j3035_10.sm
32,68,9,18,17,2.2222222222222223,j30,j3035_2.sm
32,68,11,22,27,1.9090909090909092,j30,j3035_3.sm
32,68,9,18,17,2.2222222222222223,j30,j3035_4.sm
32,68,11,19,25,2.0,j30,j3035_5.sm
32,68,12,24,32,2.0,j30,j3035_6.sm
32,68,11,20,25,2.1818181818181817,j30,j3035_7.sm
32,68,10,19,22,2.0,j30,j3035_8.sm
32,68,12,23,32,2.0,j30,j3035_9.sm
32,68,11,18,26,1.9090909090909092,j30,j3036_1.sm
32,68,11,20,27,1.9090909090909092,j30,j3036_10.sm
32,68,10,17,22,1.8,j30,j3036_2.sm
32,68,11,20,25,1.6363636363636365,j30,j3036_3.sm
32,68,11,20,27,2.0,j30,j3036_4.sm
32,68,11,17,22,1.7272727272727273,j30,j3036_5.sm
32,68,10,23,25,1.7,j30,j3036_6.sm
32,68,10,20,22,2.0,j30,j3036_7.sm
32,68,13,25,32,1.9230769230769231,j30,j3036_8.sm
32,68,11,19,21,2.090909090909091,j30,j3036_9.sm
32,68,10,16,22,1.8,j30,j3037_1.sm
32,68,11,24,31,2.0,j30,j3037_10.sm
32,68,11,17,25,1.7272727272727273,j30,j3037_2.sm
32,68,10,17,20,2.4,j30,j3037_3.sm
32,68,12,22,30,1.75,j30,j3037_4.sm
32,68,11,20,26,2.090909090909091,j30,j3037_5.sm
32,68,13,23,33,2.0,j30,j3037_6.sm
32,68,11,21,24,2.090909090909091,j30,j3037_7.sm
32,68,11,22,28,2.0,j30,j3037_8.sm
32,68,12,21,28,1.8333333333333333,j30,j3037_9.sm
32,68,11,21,27,2.090909090909091,j30,j3038_1.sm
32,68,12,22,26,2.0,j30,j3038_10.sm
32,68,10,20,23,1.8,j30,j3038_2.sm
32,68,10,19,22,2.0,j30,j3038_3.sm
32,68,11,21,26,1.8181818181818181,j30,j3038_4.sm
32,68,10,19,23,1.9,j30,j3038_5.sm
32,68,11,21,26,1.6363636363636365,j30,j3038_6.sm
32,68,10,16,22,1.8,j30,j3038_7.sm
32,68,11,20,25,1.6363636363636365,j30,j3038_8.sm
32,68,10,20,24,1.9,j30,j3038_9.sm
32,68,10,17,19,2.0,j30,j3039_1.sm
32,68,12,24,30,1.8333333333333333,j30,j3039_10.sm
32,68,11,21,25,2.0,j30,j3039_2.sm
32,68,10,19,22,1.9,j30,j3039_3.sm
32,68,10,18,23,1.8,j30,j3039_4.sm
32,68,10,18,23,1.9,j30,j3039_5.sm
32,68,12,20,29,1.8333333333333333,j30,j3039_6.sm
32,68,10,15,22,1.9,j30,j3039_7.sm
32,68,11,19,27,1.9090909090909092,j30,j3039_8.sm
32,68,12,24,30,2.0833333333333335,j30,j3039_9.sm
32,48,12,17,20,2.3333333333333335,j30,j303_1.sm
32,48,10,14,17,1.8,j30,j303_10.sm
32,48,9,16,18,1.7777777777777777,j30,j303_2.sm
32,48,11,15,21,2.090909090909091,j30,j303_3.sm
32,48,15,19,28,2.2,j30,j303_4.sm
32,48,11,16,22,2.0,j30,j303_5.sm
32,48,11,16,23,1.6363636363636365,j30,j303_6.sm
32,48,9,11,15,1.5555555555555556,j30,j303_7.sm
32,48,10,15,18,2.0,j30,j303_8.sm
32,48,11,17,23,1.7272727272727273,j30,j303_9.sm
32,68,10,21,26,1.9,j30,j3040_1.sm
32,68,11,20,26,1.8181818181818181,j30,j3040_10.sm
32,68,10,15,22,2.1,j30,j3040_2.sm
32,68,10,16,23,2.0,j30,j3040_3.sm
32,68,10,17,20,1.7,j30,j3040_4.sm
32,68,11,22,28,2.090909090909091,j30,j3040_5.sm
32,68,13,22,31,2.0,j30,j3040_6.sm
32,68,10,17,23,1.8,j30,j3040_7.sm
32,68,10,16,22,1.8,j30,j3040_8.sm
32,68,10,19,22,1.9,j30,j3040_9.sm
32,68,11,19,25,2.090909090909091,j30,j3041_1.sm
32,68,10,21,23,1.8,j30,j3041_10.sm
32,68,11,19,24,2.1818181818181817,j30,j3041_2.sm
32,68,11,23,29,1.9090909090909092,j30,j3041_3.sm
32,68,10,19,23,2.0,j30,j3041_4.sm
32,68,12,22,30,1.9166666666666667,j30,j3041_5.sm
32,68,11,23,28,1.9090909090909092,j30,j3041_6.sm
32,68,10,16,20,2.1,j30,j3041_7.sm
32,68,10,18,21,1.8,j30,j3041_8.sm
32,68,11,17,25,1.8181818181818181,j30,j3041_9.sm
32,68,10,18,22,1.6,j30,j3042_1.sm
32,68,11,23,27,2.090909090909091,j30,j3042_10.sm
32,68,11,21,26,1.6363636363636365,j30,j3042_2.sm
32,68,11,18,24,2.0,j30,j3042_3.sm
32,68,10,17,22,1.8,j30,j3042_4.sm
32,68,11,18,25,1.9090909090909092,j30,j3042_5.sm
32,68,11,21,26,1.8181818181818181,j30,j3042_6.sm
32,68,12,22,28,1.8333333333333333,j30,j3042_7.sm
32,68,11,22,27,1.9090909090909092,j30,j3042_8.sm
32,68,10,21,25,1.9,j30,j3042_9.sm
32,68,11,21,28,1.7272727272727273,j30,j3043_1.sm
32,68,11,17,24,1.9090909090909092,j30,j3043_10.sm
32,68,10,20,23,1.9,j30,j3043_2.sm
32,68,11,19,26,1.7272727272727273,j30,j3043_3.sm
32,68,10,18,25,1.9,j30,j3043_4.sm
32,68,11,19,26,2.0,j30,j3043_5.sm
32,68,11,19,23,2.0,j30,j3043_6.sm
32,68,12,22,30,1.9166666666666667,j30,j3043_7.sm
32,68,12,19,28,1.8333333333333333,j30,j3043_8.sm
32,68,12,21,30,1.8333333333333333,j30,j3043_9.sm
32,68,11,23,27,1.8181818181818181,j30,j3044_1.sm
32,68,10,22,22,2.3,j30,j3044_10.sm
32,68,10,17,21,2.0,j30,j3044_2.sm
32,68,11,19,25,1.8181818181818181,j30,j3044_3.sm
32,68,11,22,26,2.090909090909091,j30,j3044_4.sm
32,68,9,15,17,2.4444444444444446,j30,j3044_5.sm
32,68,12,22,28,2.0833333333333335,j30,j3044_6.sm
32,68,10,18,22,2.0,j30,j3044_7.sm
32,68,11,18,26,1.8181818181818181,j30,j3044_8.sm
32,68,12,23,27,2.0833333333333335,j30,j3044_9.sm
32,68,11,18,27,1.6363636363636365,j30,j3045_1.sm
32,68,13,22,31,2.076923076923077,j30,j3045_10.sm
32,68,11,20,25,1.8181818181818181,j30,j3045_2.sm
32,68,11,23,25,2.0,j30,j3045_3.sm
32,68,11,20,28,2.0,j30,j3045_4.sm
32,68,11,19,24,2.0,j30,j3045_5.sm
32,68,11,17,25,1.9090909090909092,j30,j3045_6.sm
32,68,12,26,30,2.1666666666666665,j30,j3045_7.sm
32,68,12,19,28,1.75,j30,j3045_8.sm
32,68,11,16,22,2.0,j30,j3045_9.sm
32,68,11,18,27,1.6363636363636365,j30,j3046_1.sm
32,68,10,21,24,2.0,j30,j3046_10.sm
32,68,12,22,30,1.8333333333333333,j30,j3046_2.sm
32,68,11,21,27,2.0,j30,j3046_3.sm
32,68,11,22,27,2.0,j30,j3046_4.sm
32,68,11,17,24,2.0,j30,j3046_5.sm
32,68,11,18,26,1.9090909090909092,j30,j3046_6.sm
32,68,12,25,32,1.75,j30,j3046_7.sm
32,68,11,19,26,2.0,j30,j3046_8.sm
32,68,10,18,23,2.0,j30,j3046_9.sm
32,68,12,21,28,2.0,j30,j3047_1.sm
32,68,11,20,28,1.9090909090909092,j30,j3047_10.sm
32,68,11,20,26,2.0,j30,j3047_2.sm
32,68,10,20,24,2.0,j30,j3047_3.sm
32,68,11,19,25,2.0,j30,j3047_4.sm
32,68,10,22,24,1.9,j30,j3047_5.sm
32,68,11,19,28,1.6363636363636365,j30,j3047_6.sm
32,68,11,18,27,1.8181818181818181,j30,j3047_7.sm
32,68,10,21,24,1.9,j30,j3047_8.sm
32,68,12,21,30,1.9166666666666667,j30,j3047_9.sm
32,68,12,21,29,1.9166666666666667,j30,j3048_1.sm
32,68,10,18,23,2.0,j30,j3048_10.sm
32,68,12,20,27,1.6666666666666667,j30,j3048_2.sm
32,68,10,15,19,2.1,j30,j3048_3.sm
32,68,10,20,22,2.3,j30,j3048_4.sm
32,68,9,18,20,2.111111111111111,j30,j3048_5.sm
32,68,11,19,27,1.7272727272727273,j30,j3048_6.sm
32,68,11,23,27,2.0,j30,j3048_7.sm
32,68,10,15,18,2.2,j30,j3048_8.sm
32,68,11,18,25,2.090909090909091,j30,j3048_9.sm
32,48,11,17,21,1.8181818181818181,j30,j304_1.sm
32,48,10,14,19,1.8,j30,j304_10.sm
32,48,12,19,23,1.9166666666666667,j30,j304_2.sm
32,48,10,15,21,1.6,j30,j304_3.sm
32,48,11,18,20,2.272727272727273,j30,j304_4.sm
32,48,11,16,24,1.6363636363636365,j30,j304_5.sm
32,48,12,15,22,2.0,j30,j304_6.sm
32,48,11,15,21,1.7272727272727273,j30,j304_7.sm
32,48,11,16,20,1.8181818181818181,j30,j304_8.sm
32,48,10,14,18,1.9,j30,j304_9.sm
32,48,9,15,17,1.6666666666666667,j30,j305_1.sm
32,48,10,15,17,2.0,j30,j305_10.sm
32,48,9,16,17,1.6666666666666667,j30,j305_2.sm
32,48,10,13,20,1.6,j30,j305_3.sm
32,48,9,12,17,1.7777777777777777,j30,j305_4.sm
32,48,12,17,20,2.0,j30,j305_5.sm
32,48,9,13,16,1.7777777777777777,j30,j305_6.sm
32,48,8,13,15,1.875,j30,j305_7.sm
32,48,10,17,22,1.9,j30,j305_8.sm
32,48,11,13,20,1.9090909090909092,j30,j305_9.sm
32,48,10,15,16,2.1,j30,j306_1.sm
32,48,11,17,23,1.9090909090909092,j30,j306_10.sm
32,48,11,16,22,2.1818181818181817,j30,j306_2.sm
32,48,10,13,15,1.9,j30,j306_3.sm
32,48,10,16,20,1.9,j30,j306_4.sm
32,48,10,14,18,1.9,j30,j306_5.sm
32,48,11,16,22,1.9090909090909092,j30,j306_6.sm
32,48,11,17,21,1.8181818181818181,j30,j306_7.sm
32,48,9,12,16,1.7777777777777777,j30,j306_8.sm
32,48,11,18,24,2.0,j30,j306_9.sm
32,48,10,15,18,1.8,j30,j307_1.sm
32,48,11,15,22,1.6363636363636365,j30,j307_10.sm
32,48,9,13,16,1.7777777777777777,j30,j307_2.sm
32,48,11,15,21,1.9090909090909092,j30,j307_3.sm
32,48,10,14,18,1.7,j30,j307_4.sm
32,48,10,14,20,1.6,j30,j307_5.sm
32,48,9,14,16,2.0,j30,j307_6.sm
32,48,11,15,19,1.8181818181818181,j30,j307_7.sm
32,48,9,14,17,1.8888888888888888,j30,j307_8.sm
32,48,11,15,22,1.7272727272727273,j30,j307_9.sm
32,48,10,16,19,2.0,j30,j308_1.sm
32,48,12,19,24,2.0,j30,j308_10.sm
32,48,10,14,19,1.8,j30,j308_2.sm
32,48,10,13,19,1.9,j30,j308_3.sm
32,48,10,15,20,1.8,j30,j308_4.sm
32,48,11,15,21,1.6363636363636365,j30,j308_5.sm
32,48,9,13,15,1.8888888888888888,j30,j308_6.sm
32,48,9,13,18,1.5555555555555556,j30,j308_7.sm
32,48,10,16,20,1.6,j30,j308_8.sm
32,48,9,11,17,1.7777777777777777,j30,j308_9.sm
32,48,11,15,21,1.8181818181818181,j30,j309_1.sm
32,48,11,18,23,1.8181818181818181,j30,j309_10.sm
32,48,12,20,26,2.0,j30,j309_2.sm
32,48,10,16,21,1.8,j30,j309_3.sm
32,48,9,13,16,1.8888888888888888,j30,j309_4.sm
32,48,11,18,21,2.090909090909091,j30,j309_5.sm
32,48,9,14,16,1.8888888888888888,j30,j309_6.sm
32,48,10,15,19,1.8,j30,j309_7.sm
32,48,10,15,20,1.9,j30,j309_8.sm
32,48,9,15,16,1.8888888888888888,j30,j309_9.sm
62,93,14,25,33,1.8571428571428572,j60,j6010_1.sm
62,93,13,25,28,2.076923076923077,j60,j6010_10.sm
62,93,12,21,28,1.8333333333333333,j60,j6010_2.sm
62,93,14,28,36,2.0,j60,j6010_3.sm
62,93,16,28,41,2.0,j60,j6010_4.sm
62,93,14,27,39,1.8571428571428572,j60,j6010_5.sm
62,93,13,28,32,2.076923076923077,j60,j6010_6.sm
62,93,13,22,31,2.0,j60,j6010_7.sm
62,93,13,24,31,2.076923076923077,j60,j6010_8.sm
62,93,15,28,39,1.7333333333333334,j60,j6010_9.sm
62,93,11,22,25,2.1818181818181817,j60,j6011_1.sm
62,93,10,21,21,2.3,j60,j6011_10.sm
62,93,13,23,29,1.9230769230769231,j60,j6011_2.sm
